ID	DrugID
13671	991
13672	991
13673	991
13674	991
13675	991
13676	991
13677	991
13678	991
13679	991
13680	991
13681	991
13682	991
16122	991
16123	991
16124	991
17678	991
17679	991
17680	991
17801	991
17802	991
17803	991
4518	2276
4521	2276
4524	2276
4889	2276
4892	2276
4895	2276
4519	2393
4522	2393
4525	2393
4890	2393
4893	2393
4896	2393
4520	3471
4523	3471
4526	3471
4891	3471
4894	3471
4897	3471
15834	3471
15836	3471
15838	3471
4529	3233
4532	3233
4535	3233
8485	3233
8498	3233
8511	3233
13789	3233
13799	3233
13809	3233
13960	3233
13970	3233
13980	3233
15960	3233
15970	3233
15980	3233
15996	3233
16006	3233
16016	3233
16281	3233
16291	3233
16301	3233
16311	3233
16321	3233
16331	3233
18795	3233
18798	3233
18801	3233
22731	3233
22732	3233
22733	3233
22734	3233
22735	3233
22736	3233
22737	3233
22738	3233
22739	3233
22740	3233
22741	3233
22742	3233
22743	3233
22744	3233
22745	3233
22746	3233
22747	3233
22748	3233
22749	3233
22750	3233
22751	3233
22752	3233
22753	3233
22754	3233
22755	3233
22756	3233
22757	3233
22758	3233
22759	3233
22760	3233
22761	3233
22762	3233
22763	3233
22764	3233
22765	3233
22766	3233
22767	3233
22768	3233
22769	3233
22770	3233
22771	3233
22772	3233
22773	3233
22774	3233
22775	3233
23111	3233
23112	3233
23113	3233
23114	3233
23115	3233
23116	3233
23117	3233
23118	3233
23119	3233
23120	3233
23134	3233
23135	3233
23136	3233
23137	3233
23138	3233
23139	3233
23140	3233
23141	3233
23142	3233
23143	3233
27971	3233
27972	3233
27973	3233
4539	2099
4540	2099
4541	2099
10754	2099
10755	2099
10756	2099
11113	2099
11114	2099
11115	2099
13340	2099
13341	2099
13342	2099
4569	2465
4570	2465
4571	2465
5779	2465
5780	2465
5781	2465
4605	110
4606	110
4607	110
7793	110
7794	110
7795	110
7796	110
7797	110
7798	110
17783	110
17784	110
17785	110
4622	1900
4626	1900
4630	1900
4634	1900
4638	1900
4642	1900
4623	2908
4627	2908
4631	2908
4635	2908
4639	2908
4643	2908
4706	408
4707	408
4708	408
8923	408
8924	408
8925	408
12282	408
12283	408
12284	408
12918	408
12920	408
12922	408
12924	408
12926	408
12928	408
12930	408
12932	408
12934	408
13201	408
13202	408
13203	408
13204	408
13205	408
13206	408
14750	408
14752	408
14754	408
15790	408
15791	408
15792	408
15793	408
15794	408
15795	408
15839	408
15841	408
15843	408
15845	408
15847	408
15849	408
15851	408
15853	408
15855	408
16057	408
16061	408
16065	408
24591	408
24593	408
24595	408
24597	408
24599	408
24601	408
24603	408
24605	408
24607	408
24609	408
26513	408
26514	408
26515	408
26516	408
26517	408
26518	408
26519	408
26520	408
26521	408
26522	408
26620	408
26622	408
26624	408
26626	408
26628	408
26630	408
26632	408
26634	408
26636	408
26638	408
26640	408
26642	408
26644	408
26646	408
26648	408
4709	1368
4710	1368
4711	1368
4853	1368
4854	1368
4855	1368
8321	1368
8323	1368
8325	1368
20085	1368
20086	1368
20087	1368
20088	1368
20089	1368
20090	1368
20091	1368
20092	1368
20093	1368
20094	1368
20095	1368
20096	1368
20097	1368
20098	1368
20099	1368
20100	1368
20101	1368
20102	1368
20103	1368
20104	1368
20105	1368
4883	1573
4884	1573
4885	1573
4964	3473
4965	3473
4966	3473
14256	3473
14257	3473
14258	3473
14819	3473
14820	3473
14821	3473
22647	3473
22648	3473
22649	3473
22650	3473
22651	3473
22652	3473
22653	3473
